Year,Industry,Productivity,Trained Workers,Undereployment Rate,Unemployment Rate,Qualification Rate
2005,TOTAL,21.4,,,,
2007,TOTAL,25.3,,,,
2008,TOTAL,32.0,,,,
2009,TOTAL,37.9,14.8,,,14.8
2010,TOTAL,43.93,14.6,3.56,2.91,14.7
2011,TOTAL,55.0,15.4,2.95,2.22,15.6
2012,TOTAL,62.79,16.5,2.74,1.95,16.7
2013,TOTAL,68.26,17.9,2.74,2.17,18.2
2014,TOTAL,74.26,18.3,2.39,2.1,18.7
2015,TOTAL,78.95,20.1,2.3,2.34,20.4
2016,TOTAL,84.41,20.5,1.88,2.29,20.9
2017,TOTAL,93.21,21.3,1.97,2.22,21.6
2018,TOTAL,102.1,21.9,1.62,2.19,22.0
2019,TOTAL,110.45,22.6,1.5,2.17,22.8
2020,TOTAL,117.39,23.62,2.52,2.48,24.05
2005,"Agriculture, forestry and fishing",7.5,,,,
2007,"Agriculture, forestry and fishing",9.7,,,,
2008,"Agriculture, forestry and fishing",13.6,,,,
2009,"Agriculture, forestry and fishing",14.1,3.9,,,
2010,"Agriculture, forestry and fishing",16.6,2.4,,,
2011,"Agriculture, forestry and fishing",22.21,2.7,,,
2012,"Agriculture, forestry and fishing",25.4,3.0,,,
2013,"Agriculture, forestry and fishing",26.21,3.5,,,
2014,"Agriculture, forestry and fishing",28.47,3.6,,,
2015,"Agriculture, forestry and fishing",30.79,4.3,,,
2016,"Agriculture, forestry and fishing",33.12,4.1,,,
2017,"Agriculture, forestry and fishing",35.8,4.2,,,
2018,"Agriculture, forestry and fishing",39.85,4.1,,,
2019,"Agriculture, forestry and fishing",44.74,4.0,,,
2020,"Agriculture, forestry and fishing",52.74,4.62,,,
2005,Mining and quarrying,346.6,,,,
2007,Mining and quarrying,373.8,,,,
2008,Mining and quarrying,503.1,,,,
2009,Mining and quarrying,567.1,41.7,,,
2010,Mining and quarrying,733.66,33.7,,,
2011,Mining and quarrying,961.86,35.4,,,
2012,Mining and quarrying,1269.24,43.3,,,
2013,Mining and quarrying,1444.94,43.2,,,
2014,Mining and quarrying,1748.09,52.4,,,
2015,Mining and quarrying,1747.8,49.5,,,
2016,Mining and quarrying,1687.54,50.7,,,
2017,Mining and quarrying,1741.65,47.9,,,
2018,Mining and quarrying,2054.49,51.3,,,
2019,Mining and quarrying,2050.51,54.0,,,
2020,Mining and quarrying,2008.16,51.11,,,
2005,Manufacturing,34.2,,,,
2007,Manufacturing,42.7,,,,
2008,Manufacturing,50.1,,,,
2009,Manufacturing,51.3,14.9,,,
2010,Manufacturing,39.62,13.5,,,
2011,Manufacturing,52.99,14.8,,,
2012,Manufacturing,60.24,16.7,,,
2013,Manufacturing,64.91,18.4,,,
2014,Manufacturing,67.26,18.0,,,
2015,Manufacturing,67.89,18.0,,,
2016,Manufacturing,70.98,18.5,,,
2017,Manufacturing,80.47,18.6,,,
2018,Manufacturing,88.66,17.9,,,
2019,Manufacturing,88.16,17.7,,,
2020,Manufacturing,92.96,17.94,,,
2005,"Electricity, gas, stream and air conditioning supply",220.0,,,,
2007,"Electricity, gas, stream and air conditioning supply",312.2,,,,
2008,"Electricity, gas, stream and air conditioning supply",337.7,,,,
