,Year,Province,Average Pop,Average Pop (Male),Average Pop (Female),Average Pop (Urban),Average Pop (Rural),Population Density,Sex Ratio,Ageging Index,Fertility Rate,Crude Birth Rate,Life Expectency
0,1995,WHOLE COUNTRY,71995.5,35237.4,36758.1,14938.1,57057.4,,,,,,
1,1996,WHOLE COUNTRY,73156.7,35857.3,37299.4,15419.9,57736.8,,,,,,
2,1997,WHOLE COUNTRY,74306.9,36473.1,37833.8,16835.4,57471.5,,,,,,
3,1998,WHOLE COUNTRY,75456.3,37089.7,38366.6,17464.6,57991.7,,,,,,
4,1999,WHOLE COUNTRY,76596.7,37662.1,38934.6,18081.6,58515.1,,,,,,
5,2000,WHOLE COUNTRY,77630.9,38165.3,39465.6,18725.4,58905.5,,,,,,
6,2001,WHOLE COUNTRY,78620.5,38656.4,39964.1,19299.1,59321.4,,,,,,
7,2002,WHOLE COUNTRY,79537.7,39112.2,40425.5,19873.2,59664.5,,,,,,
8,2003,WHOLE COUNTRY,80467.4,39535,40932.4,20725,59742.4,,,,,,
9,2004,WHOLE COUNTRY,81436.4,40042.0,41394.4,21601.2,59835.2,,,,,,
10,2005,WHOLE COUNTRY,82392.1,40521.5,41870.6,22332.0,60060.1,,96.8,,2.11,18.6,72.2
11,2006,WHOLE COUNTRY,83311.2,40999.0,42312.2,23045.8,60265.4,,,,,,
12,2007,WHOLE COUNTRY,84218.5,41447.3,42771.2,23746.3,60472.2,,96.9,,2.07,16.9,
13,2008,WHOLE COUNTRY,85118.7,41956.1,43162.6,24673.1,60445.6,,97.2,,2.08,16.7,
14,2009,WHOLE COUNTRY,86025,42523.4,43501.6,25584.7,60440.3,,97.8,,2.03,17.6,72.8
15,2010,WHOLE COUNTRY,87067.27,43063.34,44003.93,26460.52,60606.75,,97.86,,2,17.1,72.9
16,2011,WHOLE COUNTRY,88145.83,43619.2,44526.63,27678.62,60467.21,265.47,97.96,,1.99,16.6,73
17,2012,WHOLE COUNTRY,89202.89,44168.04,45034.85,28274.89,60928,268.35,98.08,,2.05,16.9,73
18,2013,WHOLE COUNTRY,90191.42,44685.77,45505.65,28865.08,61326.34,271.2,98.2,,2.1,17,73.1
19,2014,WHOLE COUNTRY,91203.76,45212.79,45990.98,30272.69,60931.08,274.0,98.31,,2.09,17.2,73.2
20,2015,WHOLE COUNTRY,92228.6,45753.8,46474.8,30881.9,61346.7,277.0,98.4,,2.1,16.2,73.3
21,2016,WHOLE COUNTRY,93250.7,46294.7,46956,31397,61853.7,280.0,98.6,50.1,2.09,16,73.4
22,2017,WHOLE COUNTRY,94286,46848,47438,31928.3,62357.7,283.0,98.8,53.4,2.04,14.9,73.5
23,2018,WHOLE COUNTRY,95385.2,47427.1,47958.1,32636.9,62748.3,286.0,98.9,56.9,2.05,14.6,73.5
24,2019,WHOLE COUNTRY,96484,48017.7,48466.3,33816.6,62667.4,291.0,99.07,48.8,2.09,16.3,73.6
25,2020,WHOLE COUNTRY,97582.69,48594.02,48988.67,35932.66,61650.03,295.0,99.19,51.0,2.12,16.3,73.7
26,1995,Red River Delta,17078.4,8300.1,8778.3,3093.2,13985.2,,,,,,
27,1996,Red River Delta,17289.8,8416.9,8872.9,3229.7,14060.1,,,,,,
28,1997,Red River Delta,17494.8,8530.3,8964.5,3536,13958.8,,,,,,
29,1998,Red River Delta,17692.9,8645.4,9047.5,3690.1,14002.8,,,,,,
